,FINN-kode,Title,Address,Prisantydning,lat,lng,url,Omkostninger,Totalpris,Kommunale avg.,Boligtype,Eieform,Soverom,Primærrom,Bruksareal,Byggeår,Energimerking,Rom,Tomteareal,Bruttoareal,Eierskifte-forsikring,Formuesverdi,Søn.,,Tir.,Felleskost/mnd.,Etasje,Man.,Fellesgjeld,Ons.,Mobil,Fellesformue,Tomt,Tor.,Telefon,Fax,Renovert år,Festeavgift,Felleskost/mnd. etter avdragsfri periode,Pris med fellesgjeld,Verditakst,Sikringsordning,Grunnflate,Lør.,Låneverdi,Fre.,Solgtpris,Lånetakst,Utleiedel,price,area,price_per_m2,predicted_price,priceyness
10,176632217,Pen 2(3)-roms med stor vestvendt markterrasse - Bad og kjøkken fra 2017 - Nærhet til marka,"Paal Bergs vei 3, 0692 Oslo",3300000.0,59.8746,10.8395,https://www.finn.no/realestate/homes/ad.html?finnkode=176632217,8757.0,3467757.0,,Leilighet,Andel,2,56.0,56.0,1962,G - mørkegrønn,3,25526.0,62.0,,818375.0,3. mai,13:45 - 14:45,,3895.0,-1,,159000.0,,,15864.0,,,,,,,,,,,,,,,,,,3467757.0,56.0,61924.232142857145,4338191.916613154,-0.2239496649721513
11,160767186,Rekkehus over to plan - moderniseringsbehov - garasje - meget barnevennlig og poplært boområde,"Hallagerbakken 32 f, 1256 Oslo",3990000.0,59.8397,10.7909,https://www.finn.no/realestate/homes/ad.html?finnkode=160767186,11219.0,4226219.0,,Rekkehus,Andel,2,108.0,108.0,1981,D - lysegrønn,,,120.0,,1105752.0,,16:30 - 17:30,,4886.0,,,225000.0,29. april,,20861.0,Eiet,,,,,,,,,,,,,,,,,4226219.0,108.0,39131.65740740741,7728106.140683252,-0.6035560914712601
12,172612766,Representativ topp/ende terrasseleilighet med spektakulært panorama og områdets beste utsikt. Store boder + Garasjeleie.,"Sondrevegen 3 D, 0379 Oslo",11700000.0,59.935013,10.66167,https://www.finn.no/realestate/homes/ad.html?finnkode=172612766,304070.0,12004070.0,,Leilighet,Eier (Selveier),2,160.0,162.0,1971,G - rød,5,3679.0,179.0,Ja,2334413.0,26. april,1500 - 1600,,3691.0,1,,,,,51550.0,,,,,,,,,,,,,,,,,,12004070.0,162.0,74099.1975308642,11248401.68106374,0.06501971318785493
13,174825467,"Stor og meget flott leilighet over to plan, med fjordutsikt, solrike, usjenerte terrasser, garasjeplass og to nyere bad.","Sondrevegen 2 H, 0379 Oslo",9650000.0,59.934746,10.660128,https://www.finn.no/realestate/homes/ad.html?finnkode=174825467,252820.0,9902820.0,,Leilighet,Eier (Selveier),3,193.0,206.0,1971,F - rød,5,6712.0,222.0,Ja,2792236.0,26. april,1630 - 1730,,3285.0,,,,,,12808.0,,,,,,,,,,,,,,,,,,9902820.0,206.0,48071.94174757282,14116790.639892284,-0.3545453493743054
15,166159196,"""TOPP""-leilighet - 4 roms - Villa fasiliteter - Utsikt - Trimrom - Selskapslokale - Skistall - 2 Boder -  Parkering","Silurveien 8A, 0380 Oslo",16500000.0,59.929493,10.655827,https://www.finn.no/realestate/homes/ad.html?finnkode=166159196,73712.0,16573712.0,0.0,Leilighet,Eier (Selveier),3,164.0,170.0,2019,,,4963.0,170.0,,,,,,7275.0,7,,,,,,,,,,,,,,,,,,,,,,,16573712.0,170.0,97492.42352941177,11769926.946305292,0.34227011117998174
16,172917871,Lys og delikat 4-roms i klassisk bygård med generøs takhøyde. Oppgradert i 2014. Mulighet for parkering i sameiet. Peis,"Schønings gate 41, 0362 Oslo",10900000.0,59.9314,10.7203,https://www.finn.no/realestate/homes/ad.html?finnkode=172917871,282692.0,11204692.0,,Leilighet,Eier (Selveier),3,143.0,143.0,1924,G - mørkegrønn,,1689.0,160.0,,2562856.0,,18:00 - 19:00,,6327.0,1,,22000.0,29. april,,,,,,,,,,,,,,,,,,,,11204692.0,143.0,78354.48951048951,10009779.176115049,0.11277008639077124
17,176620587,"Elegant selveier i funkisstil fra 2019, med vestvendt uteplass og 3 bad. Allrom med 4 meters takhøyde. 3 garasjeplasser.","Bygdøynesveien 17A, 0286 Oslo",35000000.0,59.90223,10.692124,https://www.finn.no/realestate/homes/ad.html?finnkode=176620587,886620.0,35889266.0,,Leilighet,Eier (Selveier),3,163.0,170.0,2019,B - mørkegrønn,4,4330.0,191.0,,3320488.0,,1700 - 1800,,7435.0,,,2646.0,29. april,,133352.0,,,,,,,,,,,,,,,,,,35889266.0,170.0,211113.32941176472,11769926.946305292,1.1148905390892487
18,176594169,Stor og romslig 4-roms leilighet beliggende i et attraktivt område - Utsikt - Innglasset balkong - Garasjeplass - Heis,"Ludvig Karstens vei 14, 1064 Oslo",3490000.0,59.9338,10.9203,https://www.finn.no/realestate/homes/ad.html?finnkode=176594169,15357.0,3784357.0,,Leilighet,Andel,3,93.0,102.0,1971,D - rød,4,35952.0,112.0,,1042805.0,3. mai,13:00 - 14:00,,4427.0,4,,279000.0,,,23184.0,,,,,,,,,,,,,,,,,,3784357.0,102.0,37101.53921568627,7336962.191752087,-0.6620488952766177
19,172902964,"Attraktiv 3(4)-roms endeleilighet med hybel, garasje, balkong, 2 bad og gasspeis - Sentral beliggenhet - Ingen dok.avg.","Peter Møllers vei 4D, 0585 Oslo",6990000.0,59.9319,10.794,https://www.finn.no/realestate/homes/ad.html?finnkode=172902964,8032.0,6998032.0,,Leilighet,Andel,3,106.0,110.0,2008,D - mørkegrønn,4,3810.0,114.0,,1782169.0,,16:30 - 18:00,28. april,5539.0,3,,,,,24600.0,,,,,,,,,,,,,,,,,,6998032.0,110.0,63618.472727272725,7858487.456993641,-0.11596518575592896
20,176395360,Attraktiv endeleilighet m privat takterrasse på 48 kvm. Meget solrikt. Heis. Fjordgløtt. 2 sov. Selveier. Garasjeplass*,"Sørengkaia 70, 0194 Oslo",7500000.0,59.9023,10.7555,https://www.finn.no/realestate/homes/ad.html?finnkode=176395360,197212.0,7701210.0,,Leilighet,Eier (Selveier),2,64.0,64.0,2012,C - mørkegrønn,3,3435.0,72.0,,1214887.0,3. mai,17:00 - 18:00,,3209.0,4,4. mai,3998.0,,,38653.0,,,,,,,,,,,,,,,,,,7701210.0,64.0,120331.40625,4859717.181854708,0.46039721618602414
