,FINN-kode,Title,Address,Prisantydning,lat,lng,url,Omkostninger,Totalpris,Felleskost/mnd.,Boligtype,Eieform,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Rom,Tomteareal,Bruttoareal,Fellesformue,Formuesverdi,Fellesgjeld,Energimerking,Pris med fellesgjeld,Renovert år,Mobil,Eierskifte-forsikring,Kommunale avg.,Tomt,Festeavgift,Fax,Felleskost/mnd. etter avdragsfri periode,Sikringsordning,Grunnflate,Utleiedel,Verditakst,Låneverdi,Lånetakst,Telefon,price,area,price_per_m2,predicted_price,priceyness
149,161453054,Lekker 5-roms med panoramautsikt fra solrik terrasse - Garasjeplass - 2 bad fra 2017 - T-bane og skole 200 meter unna.,"Jerikoveien 23B, 1067 Oslo",4490000.0,59.93396,10.881953,https://www.finn.no/realestate/homes/ad.html?finnkode=161453054,15147.0,4631147.0,5084.0,Leilighet,Andel,4,98.0,112.0,4,1977,5,26023.0,120.0,47987.0,1094770.0,126000.0,E - rød,,,,Ja,,,,,,,,,,,,,4631147.0,112.0,41349.52678571428,7202877.022882404,-0.441675963121007
150,162128295,Rekkehus over tre plan med utbyggingsmulighet. Svært etterspurt og barnevennlig boområde. Garasje og vestvendt terrasse.,"Dalerudveien 2c, 0687 Oslo",6190000.0,59.893784,10.850698,https://www.finn.no/realestate/homes/ad.html?finnkode=162128295,15147.0,6453147.0,4317.0,Rekkehus,Andel,3,97.0,97.0,,1955,5,15106.0,110.0,19660.0,1419940.0,248000.0,D - oransje,,,,Ja,,,,,,,,,,,,,6453147.0,97.0,66527.28865979382,6414984.5316280965,0.005931332013494384
151,165671805,Moderne og lys enebolig med høy standard | Betydelig oppgradert i 2015 | Stor hage med gode solforhold,"Munkerudveien 59C, 1165 Oslo",10000000.0,59.8553,10.8093,https://www.finn.no/realestate/homes/ad.html?finnkode=165671805,251222.0,10251222.0,,Enebolig,Eier (Selveier),3,140.0,163.0,,1978,5,594.0,181.0,,2451575.0,,,,,,,13096.0,,,,,,,,,,,,10251222.0,163.0,62890.93251533742,9881711.49314705,0.03671119318167726
152,166244587,"Meget pen 4-roms topp-/endeleilighet fra 2012 med heis, vestvendt balkong og garasje - Utsikt - V.v og oppvarming inkl.","Bjørnåsveien 19, 1272 Oslo",3500000.0,59.829533,10.833274,https://www.finn.no/realestate/homes/ad.html?finnkode=166244587,104510.0,3604510.0,4470.0,Leilighet,Eier (Selveier),3,80.0,84.0,3,2012,4,3141.0,91.0,9600.0,970868.0,,D - mørkegrønn,,,,Ja,,,,,,,,,,,,,3604510.0,84.0,42910.833333333336,5732144.372541029,-0.463903857594822
153,165897569,Stor 3-roms - Seperat kjøkken - Stor innglasset balkong - Sentralt og rolig,"Disenveien 53, 0587 Oslo",3900000.0,59.9415,10.7981,https://www.finn.no/realestate/homes/ad.html?finnkode=165897569,1032.0,3950738.0,3041.0,Leilighet,Andel,2,74.0,83.0,1,1957,3,30276.0,91.0,,1357637.0,49706.0,G - mørkegrønn,,,417 58 300,,,,,,,,,,,,,,3950738.0,83.0,47599.25301204819,5679618.206457409,-0.36298161639639304
154,166244429,Attraktiv 1(2)-roms/m nyslipte originale tregulv og malte flater 2019. Solrik sydvestvendt balkong. Populær beliggenhet!,"Bentsebrugata 16 B, 0476 Oslo",3300000.0,59.935722,10.761849,https://www.finn.no/realestate/homes/ad.html?finnkode=166244429,15285.0,3522285.0,3714.0,Leilighet,Andel,,36.0,37.0,3,1944,1,1894.0,41.0,8208.0,767628.0,207000.0,E - mørkegrønn,,,,Ja,,,,,,,,,,,,,3522285.0,37.0,95196.8918918919,3263414.5666108653,0.07633586643693668
155,166244309,"UTSIKTSPOST PÅ RØA | 3-roms i 8.etg. med fantastiske sol- og utsiktsforhold, 25m2 balkong og garasjeplass. Velkommen opp","Landingsveien 84, 0767 Oslo",5600000.0,59.953114,10.6517515,https://www.finn.no/realestate/homes/ad.html?finnkode=166244309,15257.0,5676257.0,3387.0,Leilighet,Andel,2,74.0,76.0,8,1974,,57614.0,82.0,9690.0,1267268.0,61000.0,G - rød,,,,Ja,,,,,,,,,,,,,5676257.0,76.0,74687.59210526316,5311935.043872066,0.0663358527251745
156,165885629,"Meget tiltalende leilighet med sovealkove, heis og flott utsikt. Fyring, varmtvann, kabel-tv og internett inkl.","Kranveien 17, 0684 Oslo",2500000.0,59.9039,10.8442,https://www.finn.no/realestate/homes/ad.html?finnkode=165885629,8219.0,2622219.0,2325.0,Leilighet,Andel,0,34.0,34.0,4,1962,1,50946.0,38.0,9027.0,564974.0,114000.0,D - rød,,,907 59 613,,,,,,,,,,,,,,2622219.0,34.0,77124.08823529411,3105836.0683600036,-0.16926203843135568
157,166069716,Pen 2-roms selveier fra 2012 i 3.etg. med attraktiv og rolig beliggenhet nær Akerselva og balkong på ca. 10 kvm,"Nydalsveien 16 B, 0484 Oslo",4050000.0,59.9485,10.7631,https://www.finn.no/realestate/homes/ad.html?finnkode=166069716,,,2270.0,Leilighet,Eier (Selveier),1,47.0,47.0,3,2012,2,1384.0,54.0,5226.0,1120349.0,1960.0,B - mørkegrønn,4051960.0,,970 78 269,,,,,,,,,,,,,,4050000.0,47.0,86170.21276595745,3788676.2274470706,0.06670020339367788
158,166240759,Romslig 3-roms leilighet med moderniseringsbehov. Fyring og varmtvann inkl. Solrik balkong på 7 m². Nærhet til Østmarka.,"Bølerlia 33, 0691 Oslo",3000000.0,59.8811,10.845,https://www.finn.no/realestate/homes/ad.html?finnkode=166240759,8220.0,3106584.0,4126.0,Leilighet,Andel,2,69.0,76.0,3,1956,3,37607.0,77.0,,965863.0,98364.0,F - rød,,,951 82 399,,,,,,,,,,,,,,3106584.0,76.0,40876.10526315789,5311935.043872066,-0.5364324536793408
