,Address,Boligtype,Bruksareal,Bruttoareal,Byggeår,Eieform,Eierskifte-forsikring,Energimerking,Etasje,FINN-kode,Fellesformue,Fellesgjeld,Felleskost/mnd.,Formuesverdi,Omkostninger,Primærrom,Prisantydning,Soverom,Title,Tomteareal,Totalpris,lat,lng,url,Rom,Kommunale avg.,Mobil,Renovert år,Festeavgift,Pris med fellesgjeld,Fax,Tomt,Felleskost/mnd. etter avdragsfri periode,Sikringsordning,Grunnflate,Utleiedel,Låneverdi,Verditakst,Lånetakst,Telefon
0,"Landingsveien 84, 0767 Oslo",Leilighet,76.0,82.0,1974,Andel,Ja,G - rød,8,166244309,9690.0,61000.0,3387.0,1267268.0,15257.0,74.0,5600000.0,2,"UTSIKTSPOST PÅ RØA | 3-roms i 8.etg. med fantastiske sol- og utsiktsforhold, 25m2 balkong og garasjeplass. Velkommen opp",57614.0,5676257.0,59.953114,10.6517515,https://www.finn.no/realestate/homes/ad.html?finnkode=166244309,,,,,,,,,,,,,,,,
1,"Arups gate 22A, 0192 Oslo",Leilighet,27.0,31.0,1894,Andel,Ja,F - rød,2,166268747,28043.0,,3012.0,567565.0,,27.0,2800000.0,1,Lys og luftig 2-roms i klassisk bygård med sentral beliggenhet - God takhøyde og praktisk planløsning - Strøm inkl. i FK,767.0,,59.906948,10.771861,https://www.finn.no/realestate/homes/ad.html?finnkode=166268747,2,,,,,,,,,,,,,,,
2,"Pilotveien 8, 0770 Oslo",Leilighet,61.0,68.0,1963,Andel,,F - rød,9,166268719,9426.0,267620.0,3911.0,1162613.0,15147.0,61.0,3780000.0,2,"Lekker og moderne 3-roms toppleilighet med fantastisk utsikt, Balkong, Heis, Innsynsfri og privat atmosfære ved marka",11572.0,4062767.0,59.94997,10.659227,https://www.finn.no/realestate/homes/ad.html?finnkode=166268719,3,,,,,,,,,,,,,,,
3,"Ravnkollbakken 68, 0971 Oslo",Leilighet,102.0,105.0,1972,Andel,Ja,G - rød,4,166268546,11858.0,492000.0,6685.0,948716.0,12447.0,84.0,2350000.0,3,Gjennomgående og romslig 4-roms med innglasset balkong på 12m2 - Utsikt - Garasjeplass - Barnevennlig!,19918.0,2854447.0,59.968758,10.891562,https://www.finn.no/realestate/homes/ad.html?finnkode=166268546,4,,,,,,,,,,,,,,,
4,"Hauchs gate 2B, 0174 Oslo",Leilighet,52.0,57.0,1897,Andel,Ja,G - rød,5,166268056,28084.0,245000.0,4896.0,,7960.0,52.0,4250000.0,2,Lekker og nyoppusset 3-roms loftsleilighet med loftstue/messanin. Høy standard. 4 meter takhøyde. Sentral beliggenhet,348.0,4502960.0,59.926826,10.75145,https://www.finn.no/realestate/homes/ad.html?finnkode=166268056,3,,,,,,,,,,,,,,,
5,"Lerdalstoppen 2, 1258 Oslo",Rekkehus,107.0,120.0,1982,Andel,Ja,E - lysegrønn,1,166267633,32890.0,55000.0,3855.0,1108067.0,15147.0,98.0,3650000.0,3,Halv tomannsbolig. 107 m² BRA. 3 soverom. Solrikt. Hage. 3 uteplasser. Garasjeplass. Barnevennlig. Moderniseringsbehov.,22800.0,3720147.0,59.83649,10.801302,https://www.finn.no/realestate/homes/ad.html?finnkode=166267633,,,,,,,,,,,,,,,,
6,"Hagegata 39 B, 0653 Oslo",Leilighet,43.0,,1899,Andel,Ja,G - rød,6,166267511,10794.0,218000.0,5040.0,780487.0,7932.0,43.0,3200000.0,1,"TØYEN: Arkitekttegnet, særegen 2-r loftsleil. i 6. etg - Heis - Varmtvann, TV&nett ink. Topp beliggenhet, like v. T-bane",494.0,3425932.0,59.913128,10.776392,https://www.finn.no/realestate/homes/ad.html?finnkode=166267511,2,,,,,,,,,,,,,,,
7,"Henrik Klausens gate 4, 0452 Oslo",Leilighet,105.0,116.0,1903,Eier (Selveier),,G - rød,3,166267564,26716.0,2871.0,4634.0,1879020.0,225575.0,105.0,8300000.0,3,Klassisk 4- roms hjørneleilighet I 3 soverom I Garasjeplass I Balkong I Rosett & stukkatur I Populær beliggenhet,1378.0,8528446.0,59.930187,10.734125,https://www.finn.no/realestate/homes/ad.html?finnkode=166267564,4,,,,,,,,,,,,,,,
8,"Bøkkerveien 10 C, 0579 Oslo",Leilighet,33.0,37.0,2019,Eier (Selveier),,B - mørkegrønn,3,163572101,,,1465.0,786845.0,88450.0,33.0,3190000.0,,Fabrikkleilighet fra 2019 med skikkelig New York følelse | Høy Standard | Vannbåren gulvvarme | Heis | Utbyggergaranti,12371.0,3278450.0,59.927887,10.795346,https://www.finn.no/realestate/homes/ad.html?finnkode=163572101,1,,,,,,,,,,,,,,,
9,"Erling Skjalgssons gate 20 B (indre gård), 0267 Oslo",Leilighet,103.0,120.0,1900,Eier (Selveier),,F - oransje,4,160487117,17982.0,140096.0,4365.0,2003132.0,240950.0,103.0,9150000.0,2,Nyoppusset (2019) og lekker 3-roms selveier beliggende i indre gårdsrom I Vestvendt balkong I 2 bad I Peis,1032.0,9531046.0,59.919346,10.701527,https://www.finn.no/realestate/homes/ad.html?finnkode=160487117,3,,,,,,,,,,,,,,,
10,"Rødtvetkroken 4A, 0956 Oslo",Tomannsbolig,190.0,211.0,1982,Eier (Selveier),,F - rød,,166104208,,,,1633490.0,201252.0,161.0,8000000.0,4,Hel tomannbolig o/2 plan | Meget barnevennlig | Nær marka | Stort potensial | Utleiemulighet | Oppussingsbehov |,589.0,8201252.0,59.9545,10.8616,https://www.finn.no/realestate/homes/ad.html?finnkode=166104208,6,9392.0,,,,,,,,,,,,,,
11,"Markveien 56E, 0550 Oslo",Leilighet,72.0,80.0,1889,Andel,,F - oransje,2,165894270,,1444989.0,9086.0,,8220.0,69.0,3850000.0,2,Klassisk og gjennomgående 3(4)-roms - To solrike balkonger - Peis - Separat kjøkken - IN-ordning - Sentralt og rolig!,1195.0,5303209.0,59.9197,10.7582,https://www.finn.no/realestate/homes/ad.html?finnkode=165894270,3,,971 99 566,2019,,,,,,,,,,,,
12,"Sletteløkka 42 F, 0597 Oslo",Leilighet,89.0,98.0,1959,Eier (Selveier),Ja,E - rød,3,166266339,7582.0,251000.0,5206.0,,91920.0,74.0,2980000.0,2,Meget velholdt 3 opprinnelig 4-roms selveierleilighet med moderniseringsbehov - 3 etg - Flott innglasset balkong!,35787.0,3322920.0,59.94978,10.850072,https://www.finn.no/realestate/homes/ad.html?finnkode=166266339,3,,,,,,,,,,,,,,,
13,"Folke Bernadottes vei 6, 0862 Oslo",Leilighet,45.0,50.0,1960,Andel,,F - rød,2,165940029,,22000.0,2796.0,1341019.0,,45.0,3750000.0,2,"Innbydende 3-roms leilighet med flotte oppgraderinger, balkong og attraktiv beliggenhet med umiddelbar nærhet til marka.",4194.0,,59.9648,10.7378,https://www.finn.no/realestate/homes/ad.html?finnkode=165940029,,,994 24 971,,13449.0,3772000.0,,,,,,,,,,
14,"Rostockgata 60, 0194 Oslo",Leilighet,54.0,60.0,2019,Eier (Selveier),,C - rød,3,160158008,,,2608.0,,172022.0,54.0,6200000.0,2,Bjørvika/Eufemias plass - Ny & lekker 3-roms selveier kun få meter fra sjøen! Stor solrik balkong på 16 kvm - Utsikt,1248.0,6372022.0,59.9066,10.7605,https://www.finn.no/realestate/homes/ad.html?finnkode=160158008,3,,,,,,,,,,,,,,,
15,"Rosenhoffgata 7A, 0569 Oslo",Leilighet,70.0,77.0,1913,Andel,,G - oransje,4,155687093,65885.0,71541.0,3904.0,1451181.0,1532.0,70.0,5490000.0,3,Moderne og stilren 4-roms leilighet fra 2014 med 86 m² gulvareal - Peis - Høy standard,2882.0,5563073.0,59.9295,10.7755,https://www.finn.no/realestate/homes/ad.html?finnkode=155687093,4,,901 26 841,,5196.0,,,,,,,,,,,
16,"Radarveien 64, 1152 Oslo",Leilighet,54.0,59.0,1959,Andel,Ja,F - mørkegrønn,3,163556615,15991.0,94247.0,4105.0,864664.0,15119.0,54.0,2990000.0,1,Lambertseter: Pen og gjennomgående 2-roms i 3. etg. | Vestvendt balkong | Varmtvann & fyring inkl. | Downlights,40999.0,3099366.0,59.87475,10.80865,https://www.finn.no/realestate/homes/ad.html?finnkode=163556615,2,,,,,,,,,,,,,,,
17,"Platous gate 33, 0190 Oslo",Leilighet,33.0,37.0,2008,Eier (Selveier),,C - mørkegrønn,4,165322444,8650.0,,2066.0,728336.0,87442.0,33.0,3200000.0,1,Lys og pen 2-roms med god planløsning og hyggelig balkong - Flytt rett inn!,1714.0,3287442.0,59.9103,10.7643,https://www.finn.no/realestate/homes/ad.html?finnkode=165322444,2,,,,,,,,,,,,,,,
18,"Johan Hirschs vei 9, 0678 Oslo",Leilighet,67.0,74.0,1958,Andel,Ja,G - rød,1,166264395,17396.0,9000.0,3277.0,914147.0,15147.0,67.0,3850000.0,2,Fantastisk lekker 3 - roms leilighet i høy 1.etg. | Herlig solrik balkong | Fyring og v.vann inkl.,6672.0,3874147.0,59.899567,10.8078985,https://www.finn.no/realestate/homes/ad.html?finnkode=166264395,3,,,,,,,,,,,,,,,
19,"Grefsenkollveien 12E, 0490 Oslo",Leilighet,77.0,86.0,1973,Eier (Selveier),,E - rød,3,166155813,20855.0,15566.0,3988.0,1395208.0,125342.0,76.0,4950000.0,2,Luftig og koselig 3-roms leilighet|Solrik terrasse på ca. 11 m² med flott utsikt|Garasjeplass|Rolige omgivelser|,37086.0,5090908.0,59.9559,10.7966,https://www.finn.no/realestate/homes/ad.html?finnkode=166155813,3,,454 57 593,,,,,,,,,,,,,
20,"Uelands gate 8, 0174 Oslo",Leilighet,37.0,42.0,1938,Eier (Selveier),Ja,F - mørkegrønn,2,166264184,347.0,,1859.0,824141.0,93622.0,36.0,3190000.0,1,PERFEKT 1.GANGSKJØP! Lekker 2-roms selveier m/ - Lave felleskostn. - V.v og fyring inkl. - Smart planløsning - Heis,835.0,3283622.0,59.925625,10.749902,https://www.finn.no/realestate/homes/ad.html?finnkode=166264184,,,,,,,,,,,,,,,,
21,"Jomfruhagen 24, 1179 Oslo",Rekkehus,146.0,164.0,2014,Eier (Selveier),Ja,B - mørkegrønn,,160193043,5858.0,45000.0,4480.0,2323095.0,331235.0,143.0,12500000.0,4,"Jomfrubråten/Nordstrand | Lekkert rekkehus | 2 bad, 4 soverom, 2 stuer | Vestvendte uteplasser og hage | Garasjeplass",5351.0,12876235.0,59.887802,10.773438,https://www.finn.no/realestate/homes/ad.html?finnkode=160193043,6,,,,,,,,,,,,,,,
22,"Rugdeberget 12, 1266 Oslo",Leilighet,79.0,86.0,1984,Andel,,G - mørkegrønn,4,166263641,27523.0,80508.0,4663.0,845952.0,15148.0,79.0,2950000.0,2,"Stor, 3-roms v/marka. Utsikt. Oppusset 2001/02/13. Vestvendt. Balkong. VV/fyring inkl. Sentralt. Ca 20 min. til Oslo S.",38700.0,3045656.0,59.841824,10.81294,https://www.finn.no/realestate/homes/ad.html?finnkode=166263641,,,,,,,,,,,,,,,,
23,"Schouterrassen 13, 0573 Oslo",Leilighet,,56.0,1937,Andel,Ja,F - mørkegrønn,3,166263636,57585.0,339987.0,4432.0,938341.0,7932.0,51.0,3650000.0,1,Flott og lys 2(3)-roms leilighet - Balkong på ca. 6 m² med pen utsikt - Fyring og v.v inkl. i fellesutgifter,2941.0,3997919.0,59.930832,10.781518,https://www.finn.no/realestate/homes/ad.html?finnkode=166263636,2,,,,,,,,,,,,,,,
24,"Ole Fladagers gate 1A, 0353 Oslo",Leilighet,84.0,92.0,1958,Eier (Selveier),Ja,C - gul,2,166263605,,43000.0,4045.0,1706453.0,200580.0,84.0,7300000.0,2,Lys og innbydende 3-roms med vestvendt balkong og heis. Rolig beliggenhet i enveiskjørt gate. Mulighet for p-plass,1076.0,7543580.0,59.9252,10.717069,https://www.finn.no/realestate/homes/ad.html?finnkode=166263605,3,,,,,,,,,,,,,,,
25,"Nedre Skøyen vei 20, 0276 Oslo",Leilighet,53.0,58.0,2001,Eier (Selveier),,D - mørkegrønn,3,166263544,3877.0,42802.0,2987.0,1174581.0,109542.0,53.0,4290000.0,1,"Delikat, lys og moderne 2-roms med solrik balkong, garasjeplass og heis -sentralt - varmtvann/fyring inkl.",3281.0,4442344.0,59.9241,10.6806,https://www.finn.no/realestate/homes/ad.html?finnkode=166263544,2,,,,,,,,,,,,,,,
26,"Martin Skatvedts Vei 24, 0950 Oslo",Leilighet,63.0,70.0,1953,Andel,Ja,D - rød,2,166262720,48336.0,314000.0,3695.0,,15285.0,63.0,3100000.0,2,"Pen og lys 3-roms andelsleilighet i 2. etg - Hyggelig vestvendt balkong på 7,5 kvm - Minutter til tog, buss og t-bane!",31369.0,3429285.0,59.94997,10.8632765,https://www.finn.no/realestate/homes/ad.html?finnkode=166262720,3,,,,,,,,,,,,,,,
27,"Raukveien 8, 0680 Oslo",Leilighet,66.0,74.0,1958,Andel,Ja,C - gul,2,166262524,9236.0,124000.0,3935.0,924569.0,7960.0,66.0,3790000.0,2,"Stilren og delikat 3-roms leilighet i 2.etg | Sydvendt balkong på 7,5 kvm med frodig utsyn | Varmtvann og fyring inkl.",77000.0,3921960.0,59.892624,10.808954,https://www.finn.no/realestate/homes/ad.html?finnkode=166262524,3,,,,,,,,,,,,,,,
28,"Enerhauggata 1, 0651 Oslo",Leilighet,,39.0,1964,Andel,Ja,G - mørkegrønn,4,166262285,,28393.0,2604.0,655587.0,15257.0,34.0,2950000.0,,"Lys og sentral leilighet med balkong - Varmtvann og fyring inkl. i fellesutgifter - Kort vei til ""alt""",27700.0,2993650.0,59.913334,10.768236,https://www.finn.no/realestate/homes/ad.html?finnkode=166262285,1,,,,,,,,,,,,,,,
29,"Strømsveien 78A, 0661 Oslo",Leilighet,50.0,55.0,1937,Andel,,F - mørkegrønn,2,165945514,59150.0,569609.0,7960.0,846917.0,15557.0,50.0,2550000.0,1,Gjennomgående og lys 2-roms m/balkong | Sentralt | V.v. og fyring inkludert | Ingen dok. avgift,1438.0,3135166.0,59.9114,10.7942,https://www.finn.no/realestate/homes/ad.html?finnkode=165945514,2,,,,,,,,,,,,,,,
30,"Tyslevveien 59 F, 1163 Oslo",Tomannsbolig,219.0,251.0,1939,Eier (Selveier),Ja,G - oransje,,166262051,,,1600.0,2616968.0,280150.0,194.0,10600000.0,4,Attraktiv og romslig 1/2 av tomannsbolig over 2 plan med god standard og barnevennlig beliggenhet. Garasje. Solrik hage.,2177.0,10880150.0,59.863434,10.802889,https://www.finn.no/realestate/homes/ad.html?finnkode=166262051,,17902.0,,,,,,,,,,,,,,
31,"Østerliveien 37 B, 1153 Oslo",Leilighet,64.0,70.0,1956,Eier (Selveier),Ja,F - oransje,2,166261545,24250.0,88544.0,4500.0,992292.0,119600.0,64.0,4100000.0,2,Lekker 3-roms selveier - kjøkken og bad fra 2014 - Egen garasje og biloppstillingsplass - Sydvestvendt balkong -,2816.0,4308144.0,59.877922,10.811791,https://www.finn.no/realestate/homes/ad.html?finnkode=166261545,,,,,,,,,,,,,,,,
32,"Bølerlia 8, 0691 Oslo",Leilighet,49.0,56.0,1957,Andel,Ja,,2,166261560,19468.0,116863.0,3602.0,752322.0,7960.0,49.0,2850000.0,1,"Lekker og arealeffektiv 2-roms med nyere kjøkken og bad (2012), vestvendt balkong, utsikt, og gode solforhold!",37794.0,2974823.0,59.88102,10.846157,https://www.finn.no/realestate/homes/ad.html?finnkode=166261560,2,,,,,,,,,,,,,,,
33,"Tyslevveien 51A, 1163 Oslo",Enebolig,235.0,267.0,1925,Eier (Selveier),Ja,G - gul,,166261557,,,500.0,3118982.0,372650.0,171.0,14300000.0,3,Villa Nysæter er en klassisk og sjarmerende villa fra 1925 | Garasje | Stor hage | Idyllisk og sentralt | Bra 267 kvm,3770.0,14672650.0,59.864532,10.80216,https://www.finn.no/realestate/homes/ad.html?finnkode=166261557,5,30948.0,,,,,,,,,,,,,,
34,"Gråsteinveien 34, 1155 Oslo",Leilighet,58.0,64.0,1954,Andel,Ja,F - rød,,166261447,13968.0,80797.0,2388.0,911785.0,15147.0,58.0,3150000.0,1,Romslig 2-roms hjørneleilighet med balkong - Kjøkken fra 2015 & vinduer fra 2013 - Attraktiv beliggenhet,52319.0,3245944.0,59.86767,10.81589,https://www.finn.no/realestate/homes/ad.html?finnkode=166261447,,,,,,,,,,,,,,,,
35,"Svingen 13B, 0192 Oslo",Leilighet,126.0,,2018,Eier (Selveier),Ja,,2,166261368,7302.0,5044.0,4793.0,1985343.0,230020.0,126.0,8750000.0,3,Nyoppført og strøken 3(4)-roms selveier over to plan med utleiedel. Balkong + terrasse. Garasjeplass og heis.,1362.0,8985064.0,59.900707,10.779994,https://www.finn.no/realestate/homes/ad.html?finnkode=166261368,4,,,,,,,,,,,,,,,
36,"Vardeveien 13 E, 1182 Oslo",Rekkehus,151.0,172.0,2007,Eier (Selveier),Ja,E - rød,,160855429,,,4000.0,2199814.0,303650.0,151.0,11700000.0,3,Tiltalende enderekkehus med fantastisk utsikt. Solrikt og barnevennlig. Hage. Garasje med to plasser. Ekeberg skole,2333.0,12003650.0,59.895065,10.793291,https://www.finn.no/realestate/homes/ad.html?finnkode=160855429,5,,,,,,,,,,,,,,,
37,"Mikrobølgen 2A, 1151 Oslo",Leilighet,53.0,59.0,1986,Andel,Ja,E - rød,2,166261179,17027.0,236531.0,3573.0,1044719.0,16348.0,53.0,3300000.0,1,Munkelia | Attraktiv 2-roms topp- og endeleilighet i trehusbebyggelse | Garasje | Nordvestvendt balkong på 7 kvm,7752.0,3552879.0,59.868008,10.812361,https://www.finn.no/realestate/homes/ad.html?finnkode=166261179,2,,,,,,,,,,,,,,,
38,"Balders gate 20, 0263 Oslo",Leilighet,94.0,103.0,1936,Eier (Selveier),,G - mørkegrønn,4,166249828,,,4110.0,1796157.0,212872.0,94.0,7950000.0,3,Lys og arealeffektiv 4-roms med solrik balkong - Oppussingsobjekt/potensial - Fyring/Vv. inkl. - Godt vedlikeholdt gård,1051.0,8162872.0,59.9193,10.7115,https://www.finn.no/realestate/homes/ad.html?finnkode=166249828,4,,,,,,,,,,,,,,,
39,"Traverveien 26, 0588 Oslo",Leilighet,67.0,74.0,1955,Andel,,G - mørkegrønn,3,165763912,21436.0,72259.0,4833.0,957370.0,15257.0,67.0,3900000.0,2,Årvoll/Disen - Delikat og lekker 3-roms med solrik vestvendt balkong - Endeleilighet med lys fra 3 sider - Må ses!,33125.0,3987516.0,59.943,10.8038,https://www.finn.no/realestate/homes/ad.html?finnkode=165763912,3,,,,,,,,,,,,,,,
40,"Mørtelverksbakken 13, 0580 Oslo",Leilighet,74.0,82.0,2017,Eier (Selveier),,B - mørkegrønn,3,166260651,9944.0,,2597.0,1133304.0,151915.0,74.0,5500000.0,3,Moderne og lekker 4-roms med god planløsning I 2 solrike balkonger I Ny i 2017 I Garasjeplass I Utbyggergaranti I Heis,9180.0,5651915.0,59.935066,10.806494,https://www.finn.no/realestate/homes/ad.html?finnkode=166260651,,,,,,,,,,,,,,,,
41,"Damplassen 24, 0852 Oslo",Leilighet,104.0,118.0,1923,Andel,Ja,E - oransje,1,166260513,2500.0,42299.0,3934.0,1448677.0,7932.0,100.0,10850000.0,3,Eksklusiv familieleilighet for den kresne. Egen hageparsell på 230 kvm. med epletrær og hyggegaranti. Peis og parkering*,7575.0,10900231.0,59.944317,10.732809,https://www.finn.no/realestate/homes/ad.html?finnkode=166260513,4,,,,,,,,,,,,,,,
42,"P.A. Holms vei 25 A, 1164 Oslo",Leilighet,75.0,82.0,1993,Eier (Selveier),Ja,D - rød,1,166260312,17340.0,,2718.0,1091029.0,127400.0,71.0,4650000.0,2,"Flott, innholdsrik og romslig 3-roms selveier med terrasse, hage og garasje. Rolig, solrik og usjenert beliggenhet.",3656.0,4777400.0,59.85875,10.815028,https://www.finn.no/realestate/homes/ad.html?finnkode=166260312,3,,,,,,,,,,,,,,,
43,"Kampen hageby 55, 0655 Oslo",Rekkehus,113.0,130.0,1994,Eier (Selveier),,,3,165323501,9396.0,,2422.0,1502717.0,222472.0,102.0,8850000.0,3,"KAMPEN HAGEBY - Innholdsrikt og idyllisk rekkehus med hage, balkong, garasjeplass og god intern beliggenhet!",3636.0,9072472.0,59.91169,10.785455,https://www.finn.no/realestate/homes/ad.html?finnkode=165323501,,,482 65 908,,,,,,,,,,,,,
44,"Kirkeveien 49A, 0368 Oslo",Leilighet,63.0,,1937,Andel,,F - mørkegrønn,4,166100507,,114000.0,3256.0,1378216.0,1032.0,63.0,5250000.0,2,"Flott 3-roms med høy standard, sydvent balkong, heis og ildsted. Attraktiv beliggenhet og varmtvann og fyring inkludert!",464.0,5365032.0,59.9276,10.7136,https://www.finn.no/realestate/homes/ad.html?finnkode=166100507,3,,469 40 765,,,,,,,,,,,,,
45,"Ekebergveien 33, 0196 Oslo",Leilighet,44.0,49.0,1937,Eier (Selveier),Ja,F - mørkegrønn,2,166260147,20496.0,4981.0,3208.0,807286.0,99375.0,44.0,3300000.0,2,Pen 3-roms i 2.etasje med rolig beliggenhet. Flott utsikt fra leilighet. Varmtvann og fyring inkludert.,448.0,3404356.0,59.901363,10.77608,https://www.finn.no/realestate/homes/ad.html?finnkode=166260147,3,,,,,,,,,,,,,,,
46,"Folke Bernadottes vei 5A, 0862 Oslo",Leilighet,38.0,,1960,Andel,,,3,165887757,34360.0,18000.0,2315.0,825819.0,8219.0,36.0,3200000.0,1,Sjarmerende og pen 2-roms med nyoppusset bad og flott kjøkken. Topp-/endeleilighet med kort vei til T-bane og marka!,6399.0,3226219.0,59.9642,10.7383,https://www.finn.no/realestate/homes/ad.html?finnkode=165887757,1,,469 40 765,,13449.0,,,,,,,,,,,
47,"Neuberggata 10 C, 0367 Oslo",Leilighet,52.0,57.0,1898,Eier (Selveier),,E - oransje,4,166260055,21742.0,67363.0,2373.0,1195179.0,115147.0,52.0,4490000.0,1,Lekker 2(3)-r i klassisk gård. Kjøkken fra 2016. Peis. Lave felleskost. 10 kvm bodplass. Indre gård på begge sider. Rose,805.0,4672510.0,59.9257,10.7141,https://www.finn.no/realestate/homes/ad.html?finnkode=166260055,2,,,,,,,,,,,,,,,
48,"Oskar Braatens gate 9, 0474 Oslo",Leilighet,36.0,39.0,1993,Eier (Selveier),,G - rød,5,166206612,4540.0,109475.0,2521.0,,93567.0,36.0,3390000.0,1,Lys og strøken 2-roms selveier med sydvendt balkong | Pusset opp 2019 | Bad 2011 | Heis | Sentral og rolig beliggenhet,690.0,3593042.0,59.9327,10.7613,https://www.finn.no/realestate/homes/ad.html?finnkode=166206612,2,,454 23 592,,,,,,,,,,,,,
49,"Spångbergveien 23A, 0853 Oslo",Leilighet,73.0,80.0,1920,Andel,,C - oransje,2,166132099,17692.0,38000.0,2519.0,982257.0,1032.0,73.0,5790000.0,2,OPPUSSINGSOBJEKT: Stille og tilbaketrukket. Skap ditt drømmehjem i 4-mannsbolig på populære Tåsen med solrik hage.,12059.0,5829032.0,59.9421,10.7463,https://www.finn.no/realestate/homes/ad.html?finnkode=166132099,4,,980 27 690,,,,,,,,,,,,,
50,"Haugerudsenteret 5, 0673 Oslo",Leilighet,85.0,93.0,2003,Eier (Selveier),Ja,F - rød,7,161594607,,,3348.0,983081.0,135600.0,81.0,4850000.0,2,Ny moderne 3-roms leilighet i 7. etasje - Garasje inkl. - Sentral beliggenhet og usjenert balkong med flott fjordutsikt!,5605.0,4985600.0,59.92243,10.856341,https://www.finn.no/realestate/homes/ad.html?finnkode=161594607,3,,,,,,,,,,,,,,,
51,"Spångbergveien 23A, 0853 Oslo",Leilighet,73.0,80.0,1920,Andel,,C - oransje,2,166132099,17692.0,38000.0,2519.0,982257.0,1032.0,73.0,5790000.0,2,OPPUSSINGSOBJEKT: Stille og tilbaketrukket. Skap ditt drømmehjem i 4-mannsbolig på populære Tåsen med solrik hage.,12059.0,5829032.0,59.9421,10.7463,https://www.finn.no/realestate/homes/ad.html?finnkode=166132099,4,,980 27 690,,,,,,,,,,,,,
52,"Bergsliens gate 9C, 0354 Oslo",Leilighet,46.0,51.0,1898,Eier (Selveier),,G - oransje,4,165812704,34774.0,92693.0,2875.0,1073509.0,117522.0,46.0,3950000.0,1,"Pen, gjennomgående og arealeffektiv 2-roms selveier med fin utsikt  - Parkeringsplass* - Peis",752.0,4160215.0,59.9254,10.7285,https://www.finn.no/realestate/homes/ad.html?finnkode=165812704,2,,,,,,,,,,,,,,,
53,"Sandakerveien 23C, 0473 Oslo",Leilighet,21.0,24.0,1936,Eier (Selveier),,F - mørkegrønn,5,165877464,,48976.0,1984.0,502573.0,79162.0,21.0,2490000.0,0,Torshov - Arealeffektiv og lys 1-roms selveier - Attraktiv og sentral beliggenhet - Perfekt førstegangskjøp,696.0,2618138.0,59.9335,10.7614,https://www.finn.no/realestate/homes/ad.html?finnkode=165877464,1,,,,,,,,,,,,,,,
54,"Krumgata 2, 0170 Oslo",Leilighet,60.0,66.0,1898,Eier (Selveier),,G - oransje,3,165706295,,,2500.0,1204320.0,127022.0,60.0,4700000.0,1,"Lys og sjarmerende 2-roms med rosett, fløydører og vedovn -Sentral beliggenhet i stille gatetun -Kjøkken og bad fra 2013",236.0,4827022.0,59.9223,10.7374,https://www.finn.no/realestate/homes/ad.html?finnkode=165706295,2,,,,,,,,,,,,,,,
55,"Kristine Bonnevies vei 15, 0592 Oslo",Leilighet,52.0,57.0,1964,Eier (Selveier),Ja,F - rød,1,166258564,11142.0,19225.0,2259.0,784450.0,102480.0,52.0,3400000.0,1,Lys og stor 2-roms endeleilighet - Solrik balkong 12 kvm  - Lave felleskostnader - Marka starter rett utenfor døra.,22810.0,3521705.0,59.95101,10.82959,https://www.finn.no/realestate/homes/ad.html?finnkode=166258564,2,,,,,,,,,,,,,,,
56,"Gøteborggata 32, 0566 Oslo",Leilighet,85.0,94.0,2014,Eier (Selveier),Ja,C - mørkegrønn,6,166258374,22090.0,4583.0,3562.0,1546788.0,167540.0,81.0,6350000.0,2,Moderne og delikat 3/4-roms med balkong | Garasjepl. | Heis | Felles takterrasse | Fjernvarme inkl | Attraktivt område!,1225.0,6522124.0,59.926342,10.769264,https://www.finn.no/realestate/homes/ad.html?finnkode=166258374,3,,,,,,,,,,,,,,,
57,"Ole Brumms vei 40, 0979 Oslo",Leilighet,31.0,34.0,1968,Andel,Ja,D - rød,4,166258183,,133000.0,2284.0,438249.0,15147.0,31.0,2250000.0,,Lekker 1 roms med bad/wc fra 2019 og kjøkken fra 2016. Solrik vestvendt balkong. Fyring og varmtvann inkl.,132037.0,2398147.0,59.949673,10.918269,https://www.finn.no/realestate/homes/ad.html?finnkode=166258183,1,,,,,,,,,,,,,,,
58,"Hans C. Gjefles vei 8, 1182 Oslo",Leilighet,98.0,106.0,2010,Eier (Selveier),,,,165778979,,,2444.0,,192754.0,97.0,7600000.0,3,"Lekker 4-roms leilighet over 2 plan med vestvendt, flott utsikt over byen - 2 store garasjeplasser i kjeller-rolig",1363.0,7792754.0,59.8994,10.7892,https://www.finn.no/realestate/homes/ad.html?finnkode=165778979,4,,,,,,,,,,,,,,,
59,"Storåsveien 26 A, 1169 Oslo",Enebolig,163.0,179.0,2002,Eier (Selveier),,D - oransje,,166257810,,,,2510286.0,252650.0,158.0,9500000.0,4,"Påkostet og moderne enebolig over to plan på 163 m² - Stor, solrik terrasse - Garasje - Ljan skole - Meget barnevennlig!",639.0,9752650.0,59.846184,10.797738,https://www.finn.no/realestate/homes/ad.html?finnkode=166257810,6,20103.0,,,,,,,,,,,,,,
