,Address,Boligtype,Bruksareal,Bruttoareal,Byggeår,Eieform,Eierskifte-forsikring,Energimerking,Etasje,FINN-kode,Fellesformue,Fellesgjeld,Felleskost/mnd.,Formuesverdi,Omkostninger,Primærrom,Prisantydning,Soverom,Title,Tomteareal,Totalpris,lat,lng,url,Rom,Kommunale avg.,Mobil,Renovert år,Festeavgift,Pris med fellesgjeld,Fax,Tomt,Felleskost/mnd. etter avdragsfri periode,Sikringsordning,Grunnflate,Utleiedel,Låneverdi,Verditakst,Lånetakst,Telefon
200,"Nåkkves vei 5, 0670 Oslo",Leilighet,67.0,,1967,Andel,,B - mørkegrønn,11,166235733,20085.0,519000.0,5184.0,804099.0,12447.0,58.0,2750000.0,1,TVEITA: Romslig 2-roms oppussingsobjekt - Garasje - Heis - Balkong - V.v og fyring - Felles takterrasse,34959.0,3281447.0,59.915356,10.841306,https://www.finn.no/realestate/homes/ad.html?finnkode=166235733,,,,,,,,,,,,,,,,
201,"Middelthuns gate 13, 0368 Oslo",Leilighet,89.0,100.0,1909,Eier (Selveier),,,4,159288469,22076.0,,4439.0,1810886.0,177522.0,89.0,6490000.0,3,"Attraktiv, lys og klassisk 4/5-roms selveiet hjørneleilighet med solrik balkong og peis. Perfekt for utleie!",307.0,6667522.0,59.9269,10.7127,https://www.finn.no/realestate/homes/ad.html?finnkode=159288469,4,,,,,,,,,,,,,,,
202,"Københavngata 1 A, 0553 Oslo",Leilighet,81.0,,1889,Andel,Ja,G - oransje,3,166234916,29337.0,21732.0,5346.0,1298652.0,,81.0,5878000.0,2,Fin og romslig 3-roms ved Sofienbergparken - Stukkatur og rosetter - God takhøyde - God planløsning - Må ses!,470.0,,59.92436,10.763229,https://www.finn.no/realestate/homes/ad.html?finnkode=166234916,3,,,,,5899732.0,,,,,,,,,,
203,"Solstugrenda 38, 0671 Oslo",Rekkehus,170.0,188.0,1970,Eier (Selveier),,G - oransje,,166089167,,,,1610019.0,215222.0,151.0,8500000.0,4,Romslig innholdsrik kjedet bolig med svært god barnevennlig beliggenhet,177.0,8715222.0,59.9133,10.8488,https://www.finn.no/realestate/homes/ad.html?finnkode=166089167,6,11738.0,,,,,,,,,,,,,,
204,"Hellerudveien 71B, 0684 Oslo",Leilighet,77.0,84.0,2015,Andel,,G - rød,1,162019578,13424.0,2260000.0,7570.0,1191824.0,8719.0,75.0,2700000.0,3,Nyere 4-romsleilighet med to markterrasser - Garasjeplass m/ladestasjon - Nærhet til Østmarka,9900.0,4968719.0,59.9023,10.8507,https://www.finn.no/realestate/homes/ad.html?finnkode=162019578,4,,,,,,,,,,,,,,,
205,"Haugerudveien 72, 0674 Oslo",Leilighet,45.0,51.0,1972,Andel,,E - mørkegrønn,2,163254211,26078.0,207000.0,2704.0,605019.0,8719.0,45.0,2750000.0,1,Pen 2-romsleilighet med god planløsning og solrik veranda med flott utsikt - V.v og fyring inkl. i fk - Nærhet til marka,62452.0,2965719.0,59.9184,10.8589,https://www.finn.no/realestate/homes/ad.html?finnkode=163254211,2,,,,,,,,,,,,,,,
206,"Jordal terrasse 2, 0658 Oslo",Leilighet,53.0,58.0,1991,Eier (Selveier),,,5,165831437,,,2350.0,941971.0,81222.0,53.0,3200000.0,1,Lys og attraktiv 2-roms selveierleilighet med balkong og utsikt | varmtvann inkl. | gangavstand til kollektivt,12714.0,3281222.0,59.9114,10.7877,https://www.finn.no/realestate/homes/ad.html?finnkode=165831437,2,,906 14 461,,,,,,,,,,,,,
207,"Mørtelverksbakken 19, 0580 Oslo",Leilighet,67.0,,2018,Eier (Selveier),,D - mørkegrønn,7,165341271,3927.0,,2380.0,1023207.0,138472.0,67.0,5490000.0,2,"Rålekker, gjennomgående 3-roms toppleilighet med vestvendt balkong fra 2018 | Garasjeplass | Heis",,5628472.0,59.93595,10.806919,https://www.finn.no/realestate/homes/ad.html?finnkode=165341271,3,,,,,,,,2380.0,,,,,,,
208,"Waldemar Thranes gate 47B, 0173 Oslo",Leilighet,103.0,115.0,1933,Aksje,,D - lysegrønn,2,156360104,13244.0,251000.0,5313.0,1798932.0,18975.0,103.0,7590000.0,3,Rålekker og innholdsrik 4-r med attraktiv og sentral beliggenhet - Nyoppusset 2018 - V.V og fyr inkl - Ingen dok.avgift.,4992.0,7859975.0,59.9263,10.746,https://www.finn.no/realestate/homes/ad.html?finnkode=156360104,4,,,,,,,,,,,,,,,
209,"Sørengkaia 84, 0194 Oslo",Leilighet,67.0,74.0,2013,Eier (Selveier),,,3,146483222,11508.0,,3699.0,1256360.0,164022.0,65.0,5950000.0,2,"Gjennomgående, attraktiv 3-r selveier med 2 solrike balkonger, flott beliggenhet, heis, fjernvarme og felles takterrasse",3942.0,6114022.0,59.9021,10.7549,https://www.finn.no/realestate/homes/ad.html?finnkode=146483222,3,,,,,,,,,,,,,,,
210,"Akersbakken 35D, 0172 Oslo",Leilighet,80.0,88.0,1937,Eier (Selveier),,F - mørkegrønn,2,166233048,12509.0,5619.0,3646.0,1491141.0,204520.0,78.0,7500000.0,2,Moderne og innbydende leilighet i front I Ærverdige Betanien I Balkong I Heis I 2 soverom I 2 bad I Nytt i 2007,4645.0,7710139.0,59.923176,10.743033,https://www.finn.no/realestate/homes/ad.html?finnkode=166233048,3,,,,,,,,,,,,,,,
211,"Radarveien 51, 1152 Oslo",Leilighet,65.0,72.0,1957,Andel,Ja,D - gul,1,166232999,,108702.0,4732.0,,,63.0,3100000.0,2,Gjennomgående 3-roms med attraktiv beliggenhet og stort potensial. Vestvendt balkong med grønt utsyn! VV og fyring inkl.,40999.0,,59.87736,10.806783,https://www.finn.no/realestate/homes/ad.html?finnkode=166232999,3,,,,,3208702.0,,,,,,,,,,
212,"Sverdrups gate 22A, 0559 Oslo",Leilighet,75.0,,1895,Andel,,F - rød,3,165407065,,346750.0,5762.0,1261849.0,8357.0,75.0,5590000.0,2,Klassisk 3(4)-roms med nord-vestvendt balkong | Bad fra 2014 | Rosett og stukkatur | Mulighet for vedovn,,5945107.0,59.920982,10.766257,https://www.finn.no/realestate/homes/ad.html?finnkode=165407065,3,,,,,,,,5762.0,Ja,,,,,,
213,"Silurveien 8A, 0380 Oslo",Leilighet,170.0,170.0,2019,Eier (Selveier),,,7,166159196,,,7275.0,,73592.0,164.0,16500000.0,3,Villa leilighet-4 roms-Villa fasiliteter-Utsikt-Trimrom Selskapslokale - Skistall - 2 Boder - Parkering,4963.0,16573592.0,59.929493,10.655827,https://www.finn.no/realestate/homes/ad.html?finnkode=166159196,,0.0,,,,,,,,,,,,,,
214,"Aslakveien 26 C, 0753 Oslo",Leilighet,64.0,70.0,2019,Andel,,B - mørkegrønn,1,165402482,,2375000.0,8341.0,,15257.0,64.0,3490000.0,2,Ny og påkostet 3-roms leilighet-Garasjeplass-Heis-Markterrasse/takterrasse-Felles hage-Ingen dok.avgift-Rolig-IN-ordning,2765.0,5880257.0,59.9399,10.6503,https://www.finn.no/realestate/homes/ad.html?finnkode=165402482,3,,,,,,,,,,,,,,,
215,"St. Halvards gate 24, 0192 Oslo",Leilighet,80.0,,2014,Eier (Selveier),,D - rød,3,161381452,,,3390.0,1447912.0,149472.0,76.0,5500000.0,2,"VISNING SØNDAG 5.1 kl 12-13 - Lekker 3-roms fra 2014 - Balkong med kveldssol, heis og garasjeplass - Sentral beliggenhet",5107.0,5649472.0,59.9065,10.7736,https://www.finn.no/realestate/homes/ad.html?finnkode=161381452,3,,980 98 209,,,,,,,,,,,,,
216,"Pilestredet Park 18, 0176 Oslo",Leilighet,88.0,98.0,2007,Andel,,D - mørkegrønn,3,165761247,,,5838.0,1671961.0,8357.0,82.0,7450000.0,2,Delikat 3(4)-roms hjørneleilighet med solrik balkong - Heis -Mulighet for hybel - Ingen dok. avgift,1737.0,7458357.0,59.9196,10.7393,https://www.finn.no/realestate/homes/ad.html?finnkode=165761247,4,,,,,,,,,,,,,,,
