,FINN-kode,Title,Address,Prisantydning,lat,lng,url,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Boligtype,Eieform,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Rom,Tomteareal,Bruttoareal,Fellesformue,Eierskifte-forsikring,Formuesverdi,Mobil,Kommunale avg.,Renovert år,Tomt,Telefon,Festeavgift,Verditakst,Pris med fellesgjeld,Lånetakst,Fax,Felleskost/mnd. etter avdragsfri periode,Sikringsordning,Grunnflate,Utleiedel,Låneverdi,price,area,price_per_m2,predicted_price,priceyness
1332,141487858,"Moderne funkisbolig over 2 plan | Vestvendt hage og uteplasser | 2 bad, 3 sov. og 2 stuer | Carport | Meget barnevennlig","Sørhellinga 24, 1540 Vestby",5490000.0,59.5969,10.7586,https://www.finn.no/realestate/homes/ad.html?finnkode=141487858,,138472.0,5628472.0,,Enebolig,Eier (Selveier),3,130.0,130.0,,2014,B - rød,5,228.0,142.0,,,1183596.0,470 89 648,9621.0,,,,,,,,,,,,,,5628472.0,130.0,43295.93846153846,6014295.068484729,-0.06630114484388727
1333,121984109,Rå 5-roms med sjel i tidligere fabrikk-lokale midt i sentrum!,"Bernt Ankers gate 4 B, 0183 Oslo",11130000.0,59.915283,10.753375,https://www.finn.no/realestate/homes/ad.html?finnkode=121984109,1702707.0,11810.0,12844517.0,14459.0,Leilighet,Andel,4,172.0,172.0,2,1898,G - oransje,6,1292.0,192.0,902592.0,Ja,2472154.0,,,,,,,,,,,,,,,,12844517.0,172.0,74677.42441860466,7189467.443143759,0.5802999277891168
1334,147561047,"Stor og moderne enebolig i funkisstil med rammetillatelse for garasje med sekundærbolig. Tomt ca 2,35 mål - Fjordutsikt","Jonasmyra 20, 1390 Vollen",13900000.0,59.80635,10.46886,https://www.finn.no/realestate/homes/ad.html?finnkode=147561047,,362650.0,14262650.0,,Enebolig,Eier (Selveier),6,285.0,305.0,,2009,B - gul,,2354.0,337.0,,Ja,3281321.0,,13421.0,,,,,,,,,,,,,,14262650.0,305.0,46762.7868852459,10910846.629564019,0.2678868341457381
1335,153998409,"Neskollen: Ny vertikaldelt tomannsbolig i fredelig område ved skogen. Balkong, 2 bad og 4 soverom.","Sekstanten  20, 2165 Hvam",4950000.0,60.11697,11.343648,https://www.finn.no/realestate/homes/ad.html?finnkode=153998409,,,,,Tomannsbolig,Eier (Selveier),4,186.0,194.0,,2019,,,3200.0,,,,,,,,,,,,,,,,,,,,4950000.0,194.0,25515.463917525773,7805033.925108012,-0.4553813239638984
1336,152978305,"Bygg 01/Vinslottet - Prosjektert 3-r. Balkong på 21,8 kvm. 3. etg. Takhøyde på 3,7 m. Salg av kontrakt. Overt. 2. kv '20","Bygg 01 - Bøkkerveien 6B, leilighet B304, 0579 Oslo",5390000.0,59.92721,10.79364,https://www.finn.no/realestate/homes/ad.html?finnkode=152978305,,,,,Leilighet,Eier (Selveier),2,64.2,66.2,3,2019,D - mørkegrønn,3,12000.0,,,,,,,,,,,,,,,,,,,,5390000.0,66.2,81419.93957703927,4229152.270788394,0.2425438207443147
1337,144653992,"Ønsker du/dere noe utenom det vanlige, sentrumsnært på Sørumsand?  Ta en titt på denne!","Haldenvegen 12C, 1920 Sørumsand",8990000.0,59.9912,11.2632,https://www.finn.no/realestate/homes/ad.html?finnkode=144653992,,225972.0,9215972.0,,Enebolig,Eier (Selveier),5,298.0,350.0,3,2019,B - oransje,,900.0,,,,,901 52 796,10191.0,,,,,,,,,,,,,,9215972.0,350.0,26331.34857142857,12169959.888127264,-0.27803254527627885
1338,152781845,"Kjøp din egen, nye leilighet på Lørenskog til under 5.000 kr i låne- og bokostnad!","Bergerveien, 1475 Finstadjordet",2990000.0,59.914497,10.968001,https://www.finn.no/realestate/homes/ad.html?finnkode=152781845,,5000.0,2995000.0,1750.0,Leilighet,Eier (Selveier),1,42.0,42.0,3,2019,A - gul,2,,,,,1000000.0,,,,,,,,,,,,,,,,2995000.0,42.0,71309.52380952382,3552029.140627715,-0.17057479753440852
1339,152457744,Flott ny leilighet - Skovly - Jessheim sentrum,"FURUSETHGATA 8, 2066 Jessheim",8500000.0,60.147877,11.170442,https://www.finn.no/realestate/homes/ad.html?finnkode=152457744,,19399.0,8519399.0,4981.0,Leilighet,Eier (Selveier),3,112.0,116.0,6,2018,,,,,,,0.0,,,,,,,,,,,,,,,,8519399.0,116.0,73443.0948275862,5622570.943598386,0.41555677587215456
1340,152430941,BROVOLLTUNET PÅ KLØFTA - 2-ROMSLEILIGHET MED GARASJE OG MARKTERRASSE - KORT VEI TIL TOG - SALG AV KONTRAKTSPOSISJON,"Brovolltunet - Lnr. 109, 2040 Kløfta",2590000.0,60.074104,11.137995,https://www.finn.no/realestate/homes/ad.html?finnkode=152430941,,50000.0,2640000.0,1107.0,Leilighet,Eier (Selveier),1,41.0,41.0,1,2019,,,,,,,,,,,Eiet,,,,,,,,,,,,2640000.0,41.0,64390.243902439026,3524048.845992976,-0.2888316517711136
1341,152149615,"OKSENØYA  2-ROMS SELVEIER NY 2019 -STOR BALKONG 9,2 KVM SJØUTSIKT LANDLIGE OMGIVELSER INNFLYTTINGSKLAR TRAPPEFRI ADKOMST","Finn Thorsagersvei 14, 1366 Lysaker",4450000.0,59.89898,10.608938,https://www.finn.no/realestate/homes/ad.html?finnkode=152149615,,122400.0,4572400.0,3057.0,Leilighet,Eier (Selveier),1,37.0,,,2019,,2,,43.0,,,,,,,Eiet,,,,,,,,,,,,4572400.0,37.0,123578.37837837837,3412127.667454021,0.29270218504954926
1343,151926206,Flott moderne leilighet i 1. etasje med garasje,"STENSETGUTUA 5, 2032 Maura",3680000.0,60.25893,11.035291,https://www.finn.no/realestate/homes/ad.html?finnkode=151926206,,97132.0,3777132.0,1581.0,Leilighet,Eier (Selveier),2,77.0,80.0,1,2018,C,3,,,,,900000.0,,,,,,,,,,,,,85.0,,,3777132.0,80.0,47214.15,4615280.33674779,-0.2004076193093134
1344,144088632,"Meget romslig leilighet over to plan, med to solrike uteplasser, umiddelbar nærhet til skole, idrettsplass m.m.","Hemnesveien 260, 1970 Hemnes",1850000.0,59.72044,11.454203,https://www.finn.no/realestate/homes/ad.html?finnkode=144088632,,57372.0,1907372.0,,Leilighet,Eier (Selveier),,141.0,141.0,,1960,,,1750.0,176.0,,Ja,630915.0,,14928.0,,,,,,,,,,,,,,1907372.0,141.0,13527.460992907801,6322078.309466856,-1.1983216221489883
1345,151051918,NY PRIS! Ny og moderne 3(4)-roms med attraktiv endebeliggenhet i 1. etg. * Boligbyttegaranti | Garasje | Balkong | Heis!,"Ringduevegen 17A, 2032 Maura",3300000.0,60.255,11.0284,https://www.finn.no/realestate/homes/ad.html?finnkode=151051918,,22329.0,3322329.0,4059.0,Leilighet,Eier (Selveier),2,80.0,85.0,1,2018,A - gul,3,6100.0,,,,,,6780.0,,,,,,,,,,,,,,3322329.0,85.0,39086.22352941176,4755181.809921483,-0.35856888777926166
1346,151106591,"Velholdt, lys og pen enebolig i barnevennlig område. Flotte uteområder, stor terrasse, gode solforhold og dobbelgarasje.","Furuåsveien 6, 1954 Setskog",2800000.0,59.827694,11.723099,https://www.finn.no/realestate/homes/ad.html?finnkode=151106591,,71222.0,2871222.0,,Enebolig,Eier (Selveier),3,159.0,193.0,,1988,,,854.0,212.0,,,727577.0,,15000.0,,,,,,,,,,,,,,2871222.0,193.0,14876.79792746114,7777053.630473273,-0.9964398326018138
1347,150929377,"Leilighet i Økolandsbyen - Solrik - Stor terrasse - Kort vei til badestrand, ski- og turløyper, båthavn mv.","Nøkkefaret 5, 2090 Hurdal",2590000.0,60.41479,11.052048,https://www.finn.no/realestate/homes/ad.html?finnkode=150929377,,65628.0,2655628.0,250.0,Leilighet,Eier (Selveier),2,58.0,62.0,,2015,D - oransje,,929.0,,,Ja,561790.0,,9378.0,,,478 89 974,,2500000.0,,,,,,,,2150000.0,2655628.0,62.0,42832.709677419356,4111635.0333224908,-0.43713960616218017
1348,162642623,"Hagan / ""gamle Skytta"" - Spennende eiendom med mange muligheter! Stor tomt, garasje og verksted.","Skyttakroken 1, 1481 Hagan",6500000.0,59.997,10.9117,https://www.finn.no/realestate/homes/ad.html?finnkode=162642623,,163780.0,6663780.0,,Enebolig,Eier (Selveier),3,112.0,289.0,1,1987,F - oransje,4,1927.0,307.0,,,1169778.0,,7032.0,,,,,6500000.0,,,,,,,,,6663780.0,289.0,23058.062283737025,10463161.915408198,-0.4511738082110437
